nse_symbol,company_name,sector,industry,market_cap_tier,in_nifty50,in_nifty500
JPPOWER,Jaiprakash Power Ventures Limited,Power Generation,,Large,False,True
NESTLEIND,Nestle India Limited,Consumer Staples,Packaged Foods,Large,True,True
UNOMINDA,UNO Minda Limited,Auto Components & Equipments,,Large,False,True
CIPLA,Cipla Limited,Healthcare,Pharmaceuticals,Large,True,True
ASHOKLEY,Ashok Leyland Limited,Commercial Vehicles,,Large,False,True
PERSISTENT,Persistent Systems Limited,Computers - Software & Consulting,,Large,False,True
CANBK,Canara Bank,Public Sector Bank,,Large,False,True
POLYCAB,Polycab India Limited,Cables - Electricals,,Large,False,True
ULTRACEMCO,UltraTech Cement Limited,Materials,Cement,Large,True,True
GRAPHITE,Graphite India Limited,Electrodes & Refractories,,Large,False,True
MANAPPURAM,Manappuram Finance Limited,Non Banking Financial Company (NBFC),,Large,False,True
MUTHOOTFIN,Muthoot Finance Limited,Non Banking Financial Company (NBFC),,Large,False,True
POWERINDIA,Hitachi Energy India Limited,Heavy Electrical Equipment,,Large,False,True
KALYANKJIL,Kalyan Jewellers India Limited,Gems Jewellery And Watches,,Large,False,True
APOLLOHOSP,Apollo Hospitals Enterprise Limited,Healthcare,Hospitals & Healthcare,Large,True,True
HDFCAMC,HDFC Asset Management Company Limited,Asset Management Company,,Large,False,True
NETWEB,Netweb Technologies India Limited,IT Enabled Services,,Large,False,True
DRREDDY,Dr. Reddy's Laboratories Limited,Healthcare,Pharmaceuticals,Large,True,True
LAURUSLABS,Laurus Labs Limited,Pharmaceuticals,,Large,False,True
NLCINDIA,NLC India Limited,Power Generation,,Large,False,True
HINDPETRO,Hindustan Petroleum Corporation Limited,Refineries & Marketing,,Large,False,True
MAZDOCK,Mazagon Dock Shipbuilders Limited,Ship Building & Allied Services,,Large,False,True
HINDUNILVR,Hindustan Unilever Limited,Consumer Staples,FMCG - Household & Personal Products,Large,True,True
HYUNDAI,Hyundai Motor India Limited,Passenger Cars & Utility Vehicles,,Mid,False,True
MOTHERSON,Samvardhana Motherson International Limited,Auto Components & Equipments,,Mid,False,True
NATIONALUM,National Aluminium Company Limited,Aluminium,,Mid,False,True
KEC,KEC International Limited,Civil Construction,,Mid,False,True
LENSKART,Lenskart Solutions Limited,Speciality Retail,,Mid,False,True
BPCL,Bharat Petroleum Corporation Limited,Energy,Oil Refining & Marketing,Large,True,True
TATAPOWER,Tata Power Company Limited,Integrated Power Utilities,,Mid,False,True
GODREJCP,Godrej Consumer Products Limited,Personal Care,,Mid,False,True
HDFCLIFE,HDFC Life Insurance Company Limited,Financials,Life Insurance,Large,True,True
WOCKPHARMA,Wockhardt Limited,Pharmaceuticals,,Mid,False,True
ATHERENERG,Ather Energy Limited,2/3 Wheelers,,Mid,False,True
GRASIM,Grasim Industries Limited,Materials,Diversified Industrials,Large,True,True
ABB,ABB India Limited,Heavy Electrical Equipment,,Mid,False,True
ASIANPAINT,Asian Paints Limited,Materials,Paints & Coatings,Large,True,True
VBL,Varun Beverages Limited,Other Beverages,,Mid,False,True
DIVISLAB,Divi's Laboratories Limited,Healthcare,Pharmaceuticals - API,Large,True,True
ICICIAMC,ICICI Prudential Asset Management Company Limited,Asset Management Company,,Mid,False,True
INDIGO,InterGlobe Aviation Limited,Airline,,Mid,False,True
CDSL,Central Depository Services (India) Limited,Depositories Clearing Houses and Other Intermediaries,,Mid,False,True
EICHERMOT,Eicher Motors Limited,Consumer Discretionary,Automobiles - Commercial Vehicles,Large,True,True
HEROMOTOCO,Hero MotoCorp Limited,Consumer Discretionary,Automobiles - 2W,Large,True,True
YESBANK,Yes Bank Limited,Private Sector Bank,,Mid,False,True
GAIL,GAIL (India) Limited,Gas Transmission/Marketing,,Mid,False,True
BAJAJFINSV,Bajaj Finserv Limited,Financials,Diversified Financial Services,Large,True,True
IOC,Indian Oil Corporation Limited,Refineries & Marketing,,Mid,False,True
VMM,Vishal Mega Mart Limited,Diversified Retail,,Mid,False,True
RECLTD,REC Limited,Financial Institution,,Mid,False,True
WAAREEENER,Waaree Energies Limited,Other Electrical Equipment,,Mid,False,True
FEDERALBNK,The Federal Bank  Limited,Private Sector Bank,,Mid,False,True
LUPIN,Lupin Limited,Pharmaceuticals,,Mid,False,True
BRITANNIA,Britannia Industries Limited,Consumer Staples,Packaged Foods,Large,True,True
LODHA,Lodha Developers Limited,Residential Commercial Projects,,Mid,False,True
PFC,Power Finance Corporation Limited,Financial Institution,,Mid,False,True
DLF,DLF Limited,Residential Commercial Projects,,Mid,False,True
PAYTM,One 97 Communications Limited,Financial Technology (Fintech),,Mid,False,True
INDHOTEL,The Indian Hotels Company Limited,Hotels & Resorts,,Mid,False,True
PINELABS,Pine Labs Limited,Financial Technology (Fintech),,Mid,False,True
PGEL,PG Electroplast Limited,Consumer Electronics,,Mid,False,True
KEI,KEI Industries Limited,Cables - Electricals,,Mid,False,True
BANKBARODA,Bank of Baroda,Public Sector Bank,,Mid,False,True
VOLTAS,Voltas Limited,Household Appliances,,Mid,False,True
TATACONSUM,TATA CONSUMER PRODUCTS LIMITED,Consumer Staples,Packaged Foods & Beverages,Large,True,True
LTM,LTM Limited,Computers - Software & Consulting,,Mid,False,True
FORCEMOT,FORCE MOTORS LTD,Passenger Cars & Utility Vehicles,,Mid,False,True
NHPC,NHPC Limited,Power Generation,,Mid,False,True
ABCAPITAL,Aditya Birla Capital Limited,Investment Company,,Mid,False,True
OIL,Oil India Limited,Oil Exploration & Production,,Mid,False,True
BANKINDIA,Bank of India,Public Sector Bank,,Mid,False,True
COHANCE,Cohance Lifesciences Limited,Pharmaceuticals,,Mid,False,True
UNIONBANK,Union Bank of India,Public Sector Bank,,Mid,False,True
MAXHEALTH,Max Healthcare Institute Limited,Hospital,,Mid,False,True
INDIANB,Indian Bank,Public Sector Bank,,Mid,False,True
GVT&D,GE Vernova T&D India Limited,Heavy Electrical Equipment,,Mid,False,True
PHOENIXLTD,The Phoenix Mills Limited,Residential Commercial Projects,,Mid,False,True
CARBORUNIV,Carborundum Universal Limited,Abrasives & Bearings,,Mid,False,True
MEESHO,Meesho Limited,E-Retail/ E-Commerce,,Mid,False,True
RBLBANK,RBL Bank Limited,Private Sector Bank,,Mid,False,True
ZEEL,Zee Entertainment Enterprises Limited,TV Broadcasting & Software Production,,Mid,False,True
RVNL,Rail Vikas Nigam Limited,Civil Construction,,Mid,False,True
CUMMINSIND,Cummins India Limited,Compressors Pumps & Diesel Engines,,Mid,False,True
BIOCON,Biocon Limited,Pharmaceuticals,,Mid,False,True
TORNTPHARM,Torrent Pharmaceuticals Limited,Pharmaceuticals,,Mid,False,True
PATANJALI,Patanjali Foods Limited,Edible Oil,,Mid,False,True
APARINDS,Apar Industries Limited,Other Electrical Equipment,,Mid,False,True
AUROPHARMA,Aurobindo Pharma Limited,Pharmaceuticals,,Mid,False,True
BANDHANBNK,Bandhan Bank Limited,Private Sector Bank,,Mid,False,True
IDFCFIRSTB,IDFC First Bank Limited,Private Sector Bank,,Mid,False,True
SBILIFE,SBI Life Insurance Company Limited,Financials,Life Insurance,Large,True,True
SAMMAANCAP,Sammaan Capital Limited,Housing Finance Company,,Mid,False,True
KFINTECH,Kfin Technologies Limited,Depositories Clearing Houses and Other Intermediaries,,Mid,False,True
CROMPTON,Crompton Greaves Consumer Electricals Limited,Household Appliances,,Mid,False,True
NMDC,NMDC Limited,Industrial Minerals,,Mid,False,True
GODREJIND,Godrej Industries Limited,Diversified,,Mid,False,True
ANGELONE,Angel One Limited,Stockbroking & Allied,,Mid,False,True
GMRAIRPORT,GMR AIRPORTS LIMITED,Airport & Airport services,,Mid,False,True
ZYDUSLIFE,Zydus Lifesciences Limited,Pharmaceuticals,,Mid,False,True
IRFC,Indian Railway Finance Corporation Limited,Financial Institution,,Mid,False,True
INDUSINDBK,IndusInd Bank Limited,Financials,Private Sector Banking,Large,True,True
MARICO,Marico Limited,Edible Oil,,Mid,False,True
NYKAA,FSN E-Commerce Ventures Limited,E-Retail/ E-Commerce,,Mid,False,True
CHOLAFIN,Cholamandalam Investment and Finance Company Limited,Non Banking Financial Company (NBFC),,Mid,False,True
GMDCLTD,Gujarat Mineral Development Corporation Limited,Industrial Minerals,,Mid,False,True
MPHASIS,MphasiS Limited,Computers - Software & Consulting,,Mid,False,True
NAM-INDIA,Nippon Life India Asset Management Limited,Asset Management Company,,Mid,False,True
INOXWIND,Inox Wind Limited,Heavy Electrical Equipment,,Mid,False,True
SAILIFE,Sai Life Sciences Limited,Pharmaceuticals,,Mid,False,True
OLAELEC,Ola Electric Mobility Limited,2/3 Wheelers,,Mid,False,True
UPL,UPL Limited,Pesticides & Agrochemicals,,Mid,False,True
TORNTPOWER,Torrent Power Limited,Integrated Power Utilities,,Mid,False,True
JINDALSTEL,JINDAL STEEL LIMITED,Iron & Steel,,Mid,False,True
EMMVEE,Emmvee Photovoltaic Power Limited,Other Electrical Equipment,,Mid,False,True
HAVELLS,Havells India Limited,Consumer Electronics,,Mid,False,True
BLUESTARCO,Blue Star Limited,Household Appliances,,Mid,False,True
RPOWER,Reliance Power Limited,Power Generation,,Mid,False,True
UNITDSPR,United Spirits Limited,Breweries & Distilleries,,Mid,False,True
GODREJPROP,Godrej Properties Limited,Residential Commercial Projects,,Mid,False,True
AUBANK,AU Small Finance Bank Limited,Other Bank,,Mid,False,True
